"","GOI","Freq"
"1","ENSG00000197746.14",21959
"2","ENSG00000184009.12",21419
"3","ENSG00000248527.1",18411
"4","ENSG00000110700.7",16896
"5","ENSG00000166710.21",15170
"6","ENSG00000142937.12",14680
"7","ENSG00000227097.5",13750
"8","ENSG00000080824.19",13078
"9","ENSG00000089220.5",12406
"10","ENSG00000034510.6",12363
"11","ENSG00000163191.6",12273
"12","ENSG00000263639.7",11883
"13","ENSG00000108953.17",10574
"14","ENSG00000142515.15",10370
"15","ENSG00000167751.13",9787
"16","ENSG00000126247.11",9775
"17","ENSG00000125534.10",9106
"18","ENSG00000166165.13",8918
"19","ENSG00000014257.16",8508
"20","ENSG00000159182.5",8452
"21","ENSG00000142541.18",8206
"22","ENSG00000137818.12",7809
"23","ENSG00000083845.9",7706
"24","ENSG00000136942.15",7138
"25","ENSG00000161016.18",6906
"26","ENSG00000115268.10",6766
"27","ENSG00000198695.2",6262
"28","ENSG00000188257.12",6251
"29","ENSG00000198888.2",6243
"30","ENSG00000114391.13",6192
"31","ENSG00000185624.15",6035
"32","ENSG00000176340.4",5677
"33","ENSG00000179218.14",5349
"34","ENSG00000108518.8",5277
"35","ENSG00000102265.12",5226
"36","ENSG00000163017.14",5188
"37","ENSG00000167526.14",5083
"38","ENSG00000136810.13",4944
"39","ENSG00000198763.3",4870
"40","ENSG00000019582.15",4713
"41","ENSG00000197756.10",4660
"42","ENSG00000096006.12",4287
"43","ENSG00000171858.18",4275
"44","ENSG00000198034.11",4258
"45","ENSG00000166441.13",4243
"46","ENSG00000084234.18",4083
"47","ENSG00000130176.8",4006
"48","ENSG00000167332.9",3791
"49","ENSG00000187837.4",3784
"50","ENSG00000135404.12",3617
"51","ENSG00000246705.4",3605
"52","ENSG00000101335.10",3584
"53","ENSG00000124664.11",3423
"54","ENSG00000074800.16",3310
"55","ENSG00000226278.1",3175
"56","ENSG00000149591.17",3151
"57","ENSG00000163810.12",3111
"58","ENSG00000182899.17",3103
"59","ENSG00000170889.14",2959
"60","ENSG00000096384.20",2927
"61","ENSG00000125257.16",2762
"62","ENSG00000227063.5",2584
"63","ENSG00000089157.16",2527
"64","ENSG00000198786.2",2421
"65","ENSG00000145425.10",2410
"66","ENSG00000130513.6",2357
"67","ENSG00000233927.5",2174
"68","ENSG00000233913.7",2143
"69","ENSG00000170345.10",2142
"70","ENSG00000130255.13",2092
"71","ENSG00000109971.14",2037
"72","ENSG00000197747.9",2035
"73","ENSG00000177606.8",1746
"74","ENSG00000165215.6",1732
"75","ENSG00000182154.8",1720
"76","ENSG00000198755.11",1701
"77","ENSG00000112306.8",1694
"78","ENSG00000143947.14",1679
"79","ENSG00000142534.7",1659
"80","ENSG00000179593.16",1564
"81","ENSG00000280623.1",1519
"82","ENSG00000124767.7",1481
"83","ENSG00000099795.7",1282
"84","ENSG00000169710.9",1269
"85","ENSG00000212907.2",1233
"86","ENSG00000156508.19",1222
"87","ENSG00000124225.16",1150
"88","ENSG00000211689.7",1105
"89","ENSG00000177954.14",1089
"90","ENSG00000204287.14",1087
"91","ENSG00000276168.1",1054
"92","ENSG00000211459.2",1035
"93","ENSG00000118523.6",1024
"94","ENSG00000213626.13",1001
"95","ENSG00000151503.13",956
"96","ENSG00000142871.18",921
"97","ENSG00000129562.11",907
"98","ENSG00000131771.14",907
"99","ENSG00000118181.11",894
"100","ENSG00000231500.7",872
"101","ENSG00000125740.14",871
"102","ENSG00000159184.8",863
"103","ENSG00000100300.18",857
"104","ENSG00000114854.8",851
"105","ENSG00000106211.10",833
"106","ENSG00000113140.11",832
"107","ENSG00000125691.14",830
"108","ENSG00000139644.13",830
"109","ENSG00000197958.13",830
"110","ENSG00000124713.6",807
"111","ENSG00000169100.14",777
"112","ENSG00000175084.12",759
"113","ENSG00000114942.14",740
"114","ENSG00000071082.11",722
"115","ENSG00000111245.17",717
"116","ENSG00000158715.6",687
"117","ENSG00000198467.16",683
"118","ENSG00000189060.5",676
"119","ENSG00000175130.7",669
"120","ENSG00000133392.18",665
"121","ENSG00000261061.1",665
"122","ENSG00000126709.15",660
"123","ENSG00000107018.8",655
"124","ENSG00000117480.16",654
"125","ENSG00000205542.11",641
"126","ENSG00000087086.15",618
"127","ENSG00000225630.1",599
"128","ENSG00000100373.10",598
"129","ENSG00000125148.7",570
"130","ENSG00000171603.18",568
"131","ENSG00000124145.6",545
"132","ENSG00000140988.16",538
"133","ENSG00000143878.10",537
"134","ENSG00000110492.15",522
"135","ENSG00000120885.22",516
"136","ENSG00000171346.16",514
"137","ENSG00000099860.9",500
"138","ENSG00000229314.5",499
"139","ENSG00000106537.8",495
"140","ENSG00000070756.17",491
"141","ENSG00000160862.13",491
"142","ENSG00000211663.2",491
"143","ENSG00000168653.11",480
"144","ENSG00000159335.18",458
"145","ENSG00000136888.8",454
"146","ENSG00000187601.5",447
"147","ENSG00000109475.16",443
"148","ENSG00000102172.16",439
"149","ENSG00000166562.9",425
"150","ENSG00000176907.5",406
"151","ENSG00000211896.7",395
"152","ENSG00000105372.8",394
"153","ENSG00000167004.13",380
"154","ENSG00000130522.6",367
"155","ENSG00000211899.10",356
"156","ENSG00000125743.10",347
"157","ENSG00000134308.14",337
"158","ENSG00000185303.17",335
"159","ENSG00000189058.9",332
"160","ENSG00000111341.10",325
"161","ENSG00000142089.16",324
"162","ENSG00000106803.10",322
"163","ENSG00000225972.1",322
"164","ENSG00000168542.16",318
"165","ENSG00000110321.19",303
"166","ENSG00000204525.17",303
"167","ENSG00000100097.12",302
"168","ENSG00000180879.14",300
"169","ENSG00000058262.10",295
"170","ENSG00000125868.16",294
"171","ENSG00000196126.11",292
"172","ENSG00000167653.5",286
"173","ENSG00000228474.6",282
"174","ENSG00000144713.13",281
"175","ENSG00000012223.13",280
"176","ENSG00000159763.4",280
"177","ENSG00000092010.15",279
"178","ENSG00000211677.2",278
"179","ENSG00000107796.13",256
"180","ENSG00000175121.11",247
"181","ENSG00000168028.14",242
"182","ENSG00000163993.7",236
"183","ENSG00000100994.12",231
"184","ENSG00000163453.11",231
"185","ENSG00000108691.9",230
"186","ENSG00000124157.7",228
"187","ENSG00000164266.11",223
"188","ENSG00000132507.18",216
"189","ENSG00000173991.6",212
"190","ENSG00000128016.7",211
"191","ENSG00000106853.20",207
"192","ENSG00000111057.11",207
"193","ENSG00000132465.12",203
"194","ENSG00000272398.6",203
"195","ENSG00000089597.18",199
"196","ENSG00000241351.3",198
"197","ENSG00000122406.14",195
"198","ENSG00000137673.9",192
"199","ENSG00000100219.16",189
"200","ENSG00000186526.13",184
"201","ENSG00000163431.13",182
"202","ENSG00000133112.17",181
"203","ENSG00000130066.16",175
"204","ENSG00000184956.16",173
"205","ENSG00000069535.14",172
"206","ENSG00000253755.1",171
"207","ENSG00000100604.13",165
"208","ENSG00000114631.11",164
"209","ENSG00000279483.2",155
"210","ENSG00000234745.12",153
"211","ENSG00000166920.13",150
"212","ENSG00000086062.13",148
"213","ENSG00000122705.17",148
"214","ENSG00000184557.4",147
"215","ENSG00000111669.15",146
"216","ENSG00000171223.6",146
"217","ENSG00000211651.3",145
"218","ENSG00000270550.1",145
"219","ENSG00000124762.14",144
"220","ENSG00000153179.13",144
"221","ENSG00000163430.12",144
"222","ENSG00000129437.11",142
"223","ENSG00000140319.11",142
"224","ENSG00000167468.18",141
"225","ENSG00000240342.3",139
"226","ENSG00000102804.15",138
"227","ENSG00000175445.17",138
"228","ENSG00000022267.19",137
"229","ENSG00000104267.10",137
"230","ENSG00000127884.5",137
"231","ENSG00000128422.17",135
"232","ENSG00000091138.13",133
"233","ENSG00000185650.10",131
"234","ENSG00000118640.11",130
"235","ENSG00000166825.15",128
"236","ENSG00000073756.12",127
"237","ENSG00000171863.15",127
"238","ENSG00000211892.4",126
"239","ENSG00000039068.19",125
"240","ENSG00000164879.7",124
"241","ENSG00000124233.12",122
"242","ENSG00000132821.12",122
"243","ENSG00000211959.2",122
"244","ENSG00000110955.9",119
"245","ENSG00000122786.20",119
"246","ENSG00000166681.14",119
"247","ENSG00000171302.17",119
"248","ENSG00000172403.11",119
"249","ENSG00000211966.2",119
"250","ENSG00000204385.13",118
"251","ENSG00000244468.1",118
"252","ENSG00000115758.13",117
"253","ENSG00000122585.8",117
"254","ENSG00000131844.16",114
"255","ENSG00000196924.19",112
"256","ENSG00000211976.2",111
"257","ENSG00000211673.2",110
"258","ENSG00000164405.11",109
"259","ENSG00000105974.13",106
"260","ENSG00000254531.1",106
"261","ENSG00000169715.15",105
"262","ENSG00000211592.8",105
"263","ENSG00000063177.13",104
"264","ENSG00000167749.11",104
"265","ENSG00000004799.8",103
"266","ENSG00000179085.8",101
"267","ENSG00000049089.15",100
"268","ENSG00000052344.16",97
"269","ENSG00000186474.15",97
"270","ENSG00000092841.19",95
"271","ENSG00000116285.13",94
"272","ENSG00000116574.6",94
"273","ENSG00000177600.9",94
"274","ENSG00000173110.8",91
"275","ENSG00000182253.15",87
"276","ENSG00000177469.13",85
"277","ENSG00000211662.2",85
"278","ENSG00000100316.16",84
"279","ENSG00000211597.2",84
"280","ENSG00000211653.2",84
"281","ENSG00000239951.1",84
"282","ENSG00000123989.14",82
"283","ENSG00000168530.16",82
"284","ENSG00000167580.8",81
"285","ENSG00000229604.2",81
"286","ENSG00000140416.23",80
"287","ENSG00000187608.10",80
"288","ENSG00000072042.13",79
"289","ENSG00000118705.17",78
"290","ENSG00000162244.12",77
"291","ENSG00000009307.16",75
"292","ENSG00000089248.7",74
"293","ENSG00000211694.2",74
"294","ENSG00000115414.21",73
"295","ENSG00000204936.10",71
"296","ENSG00000245532.9",71
"297","ENSG00000137154.13",70
"298","ENSG00000189143.9",70
"299","ENSG00000211956.2",70
"300","ENSG00000276775.1",70
"301","ENSG00000171345.13",67
"302","ENSG00000170369.4",63
"303","ENSG00000265933.5",57
"304","ENSG00000137558.9",55
"305","ENSG00000143761.16",55
"306","ENSG00000211666.2",50
"307","ENSG00000265972.6",50
"308","ENSG00000103363.15",49
"309","ENSG00000141424.13",48
"310","ENSG00000123358.20",47
"311","ENSG00000152583.12",46
"312","ENSG00000107742.13",45
"313","ENSG00000136240.10",44
"314","ENSG00000104368.19",42
"315","ENSG00000115677.17",42
"316","ENSG00000092054.13",41
"317","ENSG00000122176.12",38
"318","ENSG00000125356.7",38
"319","ENSG00000161055.4",37
"320","ENSG00000243955.6",36
"321","ENSG00000254999.4",36
"322","ENSG00000206503.13",35
"323","ENSG00000087460.27",34
"324","ENSG00000101443.18",34
"325","ENSG00000211897.9",34
"326","ENSG00000244437.1",33
"327","ENSG00000170315.14",31
"328","ENSG00000184012.13",31
"329","ENSG00000187514.17",31
"330","ENSG00000170373.8",30
"331","ENSG00000155660.11",29
"332","ENSG00000134107.5",27
"333","ENSG00000169738.8",26
"334","ENSG00000148346.12",25
"335","ENSG00000176788.9",25
"336","ENSG00000044574.8",23
"337","ENSG00000163110.15",23
"338","ENSG00000175793.12",23
"339","ENSG00000108821.14",22
"340","ENSG00000260260.1",22
"341","ENSG00000108298.12",21
"342","ENSG00000108107.15",20
"343","ENSG00000128040.11",20
"344","ENSG00000211890.4",20
"345","ENSG00000125901.6",19
"346","ENSG00000142676.14",18
"347","ENSG00000198744.5",18
"348","ENSG00000144481.17",16
"349","ENSG00000125144.14",15
"350","ENSG00000149021.7",15
"351","ENSG00000149273.15",15
"352","ENSG00000211949.3",15
"353","ENSG00000243466.1",15
"354","ENSG00000135929.9",14
"355","ENSG00000138061.12",14
"356","ENSG00000233276.7",14
"357","ENSG00000109063.15",13
"358","ENSG00000184292.7",13
"359","ENSG00000167658.16",12
"360","ENSG00000090382.7",11
"361","ENSG00000131473.17",11
"362","ENSG00000197766.8",11
"363","ENSG00000211895.5",11
"364","ENSG00000102038.16",10
"365","ENSG00000105193.9",10
"366","ENSG00000106153.13",10
"367","ENSG00000126432.14",10
"368","ENSG00000134020.8",10
"369","ENSG00000143632.14",10
"370","ENSG00000182117.6",10
"371","ENSG00000101439.9",9
"372","ENSG00000188229.6",9
"373","ENSG00000129824.16",8
"374","ENSG00000174640.15",8
"375","ENSG00000243238.1",8
"376","ENSG00000111640.15",7
"377","ENSG00000147403.18",7
"378","ENSG00000164692.18",7
"379","ENSG00000169347.17",7
"380","ENSG00000187244.12",7
"381","ENSG00000120129.6",6
"382","ENSG00000165272.16",6
"383","ENSG00000175061.18",6
"384","ENSG00000211668.2",6
"385","ENSG00000231916.1",6
"386","ENSG00000237973.1",6
"387","ENSG00000167757.14",5
"388","ENSG00000169504.15",5
"389","ENSG00000211659.2",5
"390","ENSG00000211679.2",5
"391","ENSG00000211893.4",5
"392","ENSG00000065978.19",4
"393","ENSG00000099194.6",4
"394","ENSG00000112473.18",4
"395","ENSG00000137198.10",4
"396","ENSG00000164647.9",4
"397","ENSG00000172354.10",4
"398","ENSG00000198242.14",4
"399","ENSG00000204592.9",4
"400","ENSG00000163682.17",3
"401","ENSG00000167617.3",3
"402","ENSG00000183036.11",3
"403","ENSG00000211660.3",3
"404","ENSG00000211935.3",3
"405","ENSG00000239855.1",3
"406","ENSG00000101210.13",2
"407","ENSG00000105894.12",2
"408","ENSG00000108679.13",2
"409","ENSG00000130303.13",2
"410","ENSG00000151498.12",2
"411","ENSG00000188846.14",2
"412","ENSG00000204388.7",2
"413","ENSG00000221869.5",2
"414","ENSG00000221983.8",2
"415","ENSG00000278626.1",2
